Customer_ID,Vehicle_ID,Vehicle_Value,Policy_Tenure,Premium,Policy_Purchase_Date,Policy_Start_Date,Policy_End_Date
35,V35,100000,3,300,2024-07-04,2025-07-04,2028-07-03
36,V36,100000,1,100,2024-02-04,2025-02-03,2026-02-03
37,V37,100000,4,400,2024-08-01,2025-08-01,2029-07-31
38,V38,100000,4,400,2024-06-21,2025-06-21,2029-06-20
39,V39,100000,3,300,2024-10-14,2025-10-14,2028-10-13
40,V40,100000,2,200,2024-09-28,2025-09-28,2027-09-28
41,V41,100000,2,200,2024-06-19,2025-06-19,2027-06-19
42,V42,100000,2,200,2024-09-17,2025-09-17,2027-09-17
43,V43,100000,1,100,2024-09-13,2025-09-13,2026-09-13
44,V44,100000,3,300,2024-04-25,2025-04-25,2028-04-24
45,V45,100000,3,300,2024-11-30,2025-11-30,2028-11-29
46,V46,100000,4,400,2024-01-22,2025-01-21,2029-01-20
47,V47,100000,2,200,2024-12-07,2025-12-07,2027-12-07
48,V48,100000,3,300,2024-11-20,2025-11-20,2028-11-19
49,V49,100000,4,400,2024-06-24,2025-06-24,2029-06-23
50,V50,100000,3,300,2024-03-09,2025-03-09,2028-03-08
51,V51,100000,2,200,2024-08-28,2025-08-28,2027-08-28
52,V52,100000,2,200,2024-08-05,2025-08-05,2027-08-05
53,V53,100000,3,300,2024-03-28,2025-03-28,2028-03-27
54,V54,100000,1,100,2024-11-29,2025-11-29,2026-11-29
55,V55,100000,2,200,2024-12-24,2025-12-24,2027-12-24
56,V56,100000,2,200,2024-09-12,2025-09-12,2027-09-12
57,V57,100000,4,400,2024-09-25,2025-09-25,2029-09-24
58,V58,100000,3,300,2024-06-07,2025-06-07,2028-06-06
59,V59,100000,3,300,2024-09-29,2025-09-29,2028-09-28
60,V60,100000,4,400,2024-07-14,2025-07-14,2029-07-13
61,V61,100000,3,300,2024-08-06,2025-08-06,2028-08-05
62,V62,100000,2,200,2024-04-23,2025-04-23,2027-04-23
63,V63,100000,3,300,2024-05-02,2025-05-02,2028-05-01
64,V64,100000,3,300,2024-06-30,2025-06-30,2028-06-29
65,V65,100000,3,300,2024-10-09,2025-10-09,2028-10-08
66,V66,100000,1,100,2024-05-17,2025-05-17,2026-05-17
67,V67,100000,4,400,2024-12-07,2025-12-07,2029-12-06
68,V68,100000,3,300,2024-03-04,2025-03-04,2028-03-03
69,V69,100000,3,300,2024-12-09,2025-12-09,2028-12-08
70,V70,100000,2,200,2024-04-20,2025-04-20,2027-04-20
71,V71,100000,2,200,2024-01-02,2025-01-01,2027-01-01
72,V72,100000,4,400,2024-05-31,2025-05-31,2029-05-30
73,V73,100000,4,400,2024-10-28,2025-10-28,2029-10-27
74,V74,100000,2,200,2024-10-20,2025-10-20,2027-10-20
75,V75,100000,2,200,2024-10-01,2025-10-01,2027-10-01
76,V76,100000,1,100,2024-12-06,2025-12-06,2026-12-06
77,V77,100000,2,200,2024-04-09,2025-04-09,2027-04-09
78,V78,100000,2,200,2024-09-21,2025-09-21,2027-09-21
79,V79,100000,3,300,2024-03-02,2025-03-02,2028-03-01
80,V80,100000,2,200,2024-06-16,2025-06-16,2027-06-16
81,V81,100000,2,200,2024-08-03,2025-08-03,2027-08-03
82,V82,100000,1,100,2024-10-21,2025-10-21,2026-10-21
83,V83,100000,1,100,2024-03-06,2025-03-06,2026-03-06
84,V84,100000,2,200,2024-10-05,2025-10-05,2027-10-05
85,V85,100000,3,300,2024-09-06,2025-09-06,2028-09-05
86,V86,100000,1,100,2024-03-10,2025-03-10,2026-03-10
87,V87,100000,2,200,2024-09-08,2025-09-08,2027-09-08
88,V88,100000,2,200,2024-12-02,2025-12-02,2027-12-02
89,V89,100000,2,200,2024-12-26,2025-12-26,2027-12-26
90,V90,100000,3,300,2024-01-13,2025-01-12,2028-01-12
91,V91,100000,2,200,2024-07-11,2025-07-11,2027-07-11
92,V92,100000,3,300,2024-03-25,2025-03-25,2028-03-24
93,V93,100000,3,300,2024-06-06,2025-06-06,2028-06-05
94,V94,100000,2,200,2024-09-26,2025-09-26,2027-09-26
95,V95,100000,3,300,2024-07-05,2025-07-05,2028-07-04
96,V96,100000,4,400,2024-06-16,2025-06-16,2029-06-15
97,V97,100000,3,300,2024-08-29,2025-08-29,2028-08-28
98,V98,100000,4,400,2024-02-10,2025-02-09,2029-02-08
99,V99,100000,2,200,2024-02-07,2025-02-06,2027-02-06
100,V100,100000,3,300,2024-03-22,2025-03-22,2028-03-21
101,V101,100000,3,300,2024-11-13,2025-11-13,2028-11-12
102,V102,100000,1,100,2024-04-24,2025-04-24,2026-04-24
103,V103,100000,3,300,2024-03-25,2025-03-25,2028-03-24
104,V104,100000,2,200,2024-08-31,2025-08-31,2027-08-31
105,V105,100000,3,300,2024-04-30,2025-04-30,2028-04-29
106,V106,100000,3,300,2024-12-13,2025-12-13,2028-12-12
107,V107,100000,2,200,2024-08-11,2025-08-11,2027-08-11
108,V108,100000,2,200,2024-01-16,2025-01-15,2027-01-15
109,V109,100000,3,300,2024-07-15,2025-07-15,2028-07-14
110,V110,100000,2,200,2024-02-19,2025-02-18,2027-02-18
111,V111,100000,2,200,2024-05-22,2025-05-22,2027-05-22
112,V112,100000,3,300,2024-02-16,2025-02-15,2028-02-15
113,V113,100000,3,300,2024-09-29,2025-09-29,2028-09-28
114,V114,100000,2,200,2024-10-30,2025-10-30,2027-10-30
115,V115,100000,1,100,2024-01-31,2025-01-30,2026-01-30
116,V116,100000,4,400,2024-03-06,2025-03-06,2029-03-05
117,V117,100000,3,300,2024-11-21,2025-11-21,2028-11-20
118,V118,100000,2,200,2024-01-07,2025-01-06,2027-01-06
119,V119,100000,3,300,2024-06-06,2025-06-06,2028-06-05
120,V120,100000,4,400,2024-09-26,2025-09-26,2029-09-25
121,V121,100000,1,100,2024-03-28,2025-03-28,2026-03-28
122,V122,100000,3,300,2024-05-10,2025-05-10,2028-05-09
123,V123,100000,4,400,2024-09-10,2025-09-10,2029-09-09
124,V124,100000,2,200,2024-09-20,2025-09-20,2027-09-20
125,V125,100000,2,200,2024-11-19,2025-11-19,2027-11-19
126,V126,100000,3,300,2024-06-27,2025-06-27,2028-06-26
127,V127,100000,3,300,2024-01-24,2025-01-23,2028-01-23
128,V128,100000,3,300,2024-01-24,2025-01-23,2028-01-23
129,V129,100000,3,300,2024-07-08,2025-07-08,2028-07-07
130,V130,100000,3,300,2024-07-26,2025-07-26,2028-07-25
131,V131,100000,1,100,2024-07-26,2025-07-26,2026-07-26
132,V132,100000,1,100,2024-05-12,2025-05-12,2026-05-12
133,V133,100000,1,100,2024-02-10,2025-02-09,2026-02-09
134,V134,100000,2,200,2024-05-11,2025-05-11,2027-05-11
135,V135,100000,2,200,2024-09-06,2025-09-06,2027-09-06
136,V136,100000,2,200,2024-02-03,2025-02-02,2027-02-02
137,V137,100000,1,100,2024-03-02,2025-03-02,2026-03-02
138,V138,100000,2,200,2024-03-26,2025-03-26,2027-03-26
139,V139,100000,3,300,2024-05-10,2025-05-10,2028-05-09
140,V140,100000,3,300,2024-04-05,2025-04-05,2028-04-04
141,V141,100000,3,300,2024-10-08,2025-10-08,2028-10-07
142,V142,100000,2,200,2024-01-06,2025-01-05,2027-01-05
143,V143,100000,2,200,2024-04-01,2025-04-01,2027-04-01
144,V144,100000,1,100,2024-09-21,2025-09-21,2026-09-21
145,V145,100000,3,300,2024-06-01,2025-06-01,2028-05-31
146,V146,100000,3,300,2024-05-01,2025-05-01,2028-04-30
147,V147,100000,3,300,2024-08-16,2025-08-16,2028-08-15
148,V148,100000,2,200,2024-02-05,2025-02-04,2027-02-04
149,V149,100000,3,300,2024-10-19,2025-10-19,2028-10-18
150,V150,100000,2,200,2024-11-12,2025-11-12,2027-11-12
151,V151,100000,2,200,2024-07-29,2025-07-29,2027-07-29
152,V152,100000,2,200,2024-03-29,2025-03-29,2027-03-29
153,V153,100000,4,400,2024-01-07,2025-01-06,2029-01-05
154,V154,100000,3,300,2024-08-08,2025-08-08,2028-08-07
155,V155,100000,2,200,2024-01-05,2025-01-04,2027-01-04
156,V156,100000,2,200,2024-03-17,2025-03-17,2027-03-17
157,V157,100000,1,100,2024-01-11,2025-01-10,2026-01-10
158,V158,100000,1,100,2024-08-31,2025-08-31,2026-08-31
159,V159,100000,4,400,2024-11-18,2025-11-18,2029-11-17
160,V160,100000,3,300,2024-04-08,2025-04-08,2028-04-07
161,V161,100000,1,100,2024-05-15,2025-05-15,2026-05-15
162,V162,100000,3,300,2024-03-15,2025-03-15,2028-03-14
163,V163,100000,1,100,2024-11-03,2025-11-03,2026-11-03
164,V164,100000,2,200,2024-05-24,2025-05-24,2027-05-24
165,V165,100000,3,300,2024-04-02,2025-04-02,2028-04-01
166,V166,100000,3,300,2024-12-01,2025-12-01,2028-11-30
167,V167,100000,3,300,2024-10-14,2025-10-14,2028-10-13
168,V168,100000,1,100,2024-07-14,2025-07-14,2026-07-14
169,V169,100000,2,200,2024-10-02,2025-10-02,2027-10-02
170,V170,100000,3,300,2024-11-09,2025-11-09,2028-11-08
171,V171,100000,2,200,2024-03-19,2025-03-19,2027-03-19
172,V172,100000,3,300,2024-09-08,2025-09-08,2028-09-07
173,V173,100000,2,200,2024-06-18,2025-06-18,2027-06-18
174,V174,100000,3,300,2024-11-14,2025-11-14,2028-11-13
175,V175,100000,1,100,2024-05-18,2025-05-18,2026-05-18
176,V176,100000,3,300,2024-04-18,2025-04-18,2028-04-17
177,V177,100000,2,200,2024-04-13,2025-04-13,2027-04-13
178,V178,100000,4,400,2024-10-05,2025-10-05,2029-10-04
179,V179,100000,3,300,2024-05-01,2025-05-01,2028-04-30
180,V180,100000,2,200,2024-03-28,2025-03-28,2027-03-28
181,V181,100000,2,200,2024-07-28,2025-07-28,2027-07-28
182,V182,100000,4,400,2024-06-09,2025-06-09,2029-06-08
183,V183,100000,3,300,2024-11-10,2025-11-10,2028-11-09
184,V184,100000,1,100,2024-03-20,2025-03-20,2026-03-20
185,V185,100000,2,200,2024-08-30,2025-08-30,2027-08-30
186,V186,100000,3,300,2024-04-25,2025-04-25,2028-04-24
187,V187,100000,3,300,2024-10-29,2025-10-29,2028-10-28
188,V188,100000,2,200,2024-01-27,2025-01-26,2027-01-26
189,V189,100000,3,300,2024-05-23,2025-05-23,2028-05-22
190,V190,100000,1,100,2024-08-02,2025-08-02,2026-08-02
191,V191,100000,4,400,2024-03-22,2025-03-22,2029-03-21
192,V192,100000,2,200,2024-06-11,2025-06-11,2027-06-11
193,V193,100000,2,200,2024-07-18,2025-07-18,2027-07-18
194,V194,100000,3,300,2024-03-10,2025-03-10,2028-03-09
195,V195,100000,3,300,2024-06-08,2025-06-08,2028-06-07
196,V196,100000,1,100,2024-07-15,2025-07-15,2026-07-15
197,V197,100000,1,100,2024-02-20,2025-02-19,2026-02-19
198,V198,100000,3,300,2024-05-05,2025-05-05,2028-05-04
199,V199,100000,1,100,2024-11-05,2025-11-05,2026-11-05
200,V200,100000,3,300,2024-12-16,2025-12-16,2028-12-15
201,V201,100000,2,200,2024-07-07,2025-07-07,2027-07-07
202,V202,100000,2,200,2024-03-07,2025-03-07,2027-03-07
203,V203,100000,2,200,2024-08-17,2025-08-17,2027-08-17
204,V204,100000,2,200,2024-05-20,2025-05-20,2027-05-20
205,V205,100000,3,300,2024-05-08,2025-05-08,2028-05-07
206,V206,100000,2,200,2024-11-27,2025-11-27,2027-11-27
207,V207,100000,2,200,2024-11-24,2025-11-24,2027-11-24
208,V208,100000,3,300,2024-04-02,2025-04-02,2028-04-01
209,V209,100000,1,100,2024-05-31,2025-05-31,2026-05-31
210,V210,100000,2,200,2024-03-28,2025-03-28,2027-03-28
211,V211,100000,4,400,2024-05-11,2025-05-11,2029-05-10
212,V212,100000,2,200,2024-03-24,2025-03-24,2027-03-24
213,V213,100000,1,100,2024-05-15,2025-05-15,2026-05-15
214,V214,100000,1,100,2024-03-30,2025-03-30,2026-03-30
215,V215,100000,3,300,2024-04-23,2025-04-23,2028-04-22
216,V216,100000,2,200,2024-06-29,2025-06-29,2027-06-29
217,V217,100000,4,400,2024-12-12,2025-12-12,2029-12-11
218,V218,100000,4,400,2024-09-02,2025-09-02,2029-09-01
219,V219,100000,2,200,2024-04-13,2025-04-13,2027-04-13
220,V220,100000,2,200,2024-09-07,2025-09-07,2027-09-07
221,V221,100000,3,300,2024-02-04,2025-02-03,2028-02-03
222,V222,100000,3,300,2024-11-15,2025-11-15,2028-11-14
223,V223,100000,3,300,2024-12-21,2025-12-21,2028-12-20
224,V224,100000,3,300,2024-04-03,2025-04-03,2028-04-02
225,V225,100000,1,100,2024-08-10,2025-08-10,2026-08-10
226,V226,100000,2,200,2024-06-25,2025-06-25,2027-06-25
227,V227,100000,1,100,2024-08-10,2025-08-10,2026-08-10
228,V228,100000,1,100,2024-01-06,2025-01-05,2026-01-05
229,V229,100000,1,100,2024-09-11,2025-09-11,2026-09-11
230,V230,100000,3,300,2024-08-07,2025-08-07,2028-08-06
231,V231,100000,1,100,2024-01-22,2025-01-21,2026-01-21
232,V232,100000,1,100,2024-05-05,2025-05-05,2026-05-05
233,V233,100000,2,200,2024-06-06,2025-06-06,2027-06-06
234,V234,100000,3,300,2024-02-08,2025-02-07,2028-02-07
235,V235,100000,1,100,2024-07-19,2025-07-19,2026-07-19
236,V236,100000,3,300,2024-12-10,2025-12-10,2028-12-09
237,V237,100000,2,200,2024-08-12,2025-08-12,2027-08-12
238,V238,100000,3,300,2024-12-19,2025-12-19,2028-12-18
239,V239,100000,2,200,2024-10-19,2025-10-19,2027-10-19
240,V240,100000,3,300,2024-04-03,2025-04-03,2028-04-02
241,V241,100000,1,100,2024-09-05,2025-09-05,2026-09-05
242,V242,100000,3,300,2024-11-16,2025-11-16,2028-11-15
243,V243,100000,2,200,2024-12-09,2025-12-09,2027-12-09
244,V244,100000,2,200,2024-11-26,2025-11-26,2027-11-26
245,V245,100000,1,100,2024-10-15,2025-10-15,2026-10-15
246,V246,100000,3,300,2024-04-12,2025-04-12,2028-04-11
247,V247,100000,4,400,2024-09-18,2025-09-18,2029-09-17
248,V248,100000,4,400,2024-09-01,2025-09-01,2029-08-31
249,V249,100000,1,100,2024-10-02,2025-10-02,2026-10-02
250,V250,100000,2,200,2024-11-16,2025-11-16,2027-11-16
251,V251,100000,1,100,2024-05-15,2025-05-15,2026-05-15
252,V252,100000,1,100,2024-11-08,2025-11-08,2026-11-08
253,V253,100000,1,100,2024-09-04,2025-09-04,2026-09-04
254,V254,100000,3,300,2024-06-20,2025-06-20,2028-06-19
255,V255,100000,2,200,2024-09-05,2025-09-05,2027-09-05
256,V256,100000,3,300,2024-08-13,2025-08-13,2028-08-12
257,V257,100000,2,200,2024-05-26,2025-05-26,2027-05-26
258,V258,100000,2,200,2024-09-19,2025-09-19,2027-09-19
259,V259,100000,1,100,2024-12-07,2025-12-07,2026-12-07
260,V260,100000,1,100,2024-11-05,2025-11-05,2026-11-05
261,V261,100000,3,300,2024-12-21,2025-12-21,2028-12-20
262,V262,100000,3,300,2024-04-29,2025-04-29,2028-04-28
263,V263,100000,2,200,2024-11-05,2025-11-05,2027-11-05
264,V264,100000,3,300,2024-06-20,2025-06-20,2028-06-19
265,V265,100000,2,200,2024-02-26,2025-02-25,2027-02-25
266,V266,100000,3,300,2024-05-16,2025-05-16,2028-05-15
267,V267,100000,3,300,2024-11-07,2025-11-07,2028-11-06
268,V268,100000,3,300,2024-01-29,2025-01-28,2028-01-28
269,V269,100000,3,300,2024-05-17,2025-05-17,2028-05-16
270,V270,100000,3,300,2024-12-08,2025-12-08,2028-12-07
271,V271,100000,4,400,2024-04-17,2025-04-17,2029-04-16
272,V272,100000,1,100,2024-03-07,2025-03-07,2026-03-07
273,V273,100000,3,300,2024-01-27,2025-01-26,2028-01-26
274,V274,100000,2,200,2024-05-16,2025-05-16,2027-05-16
275,V275,100000,1,100,2024-10-26,2025-10-26,2026-10-26
276,V276,100000,2,200,2024-01-04,2025-01-03,2027-01-03
277,V277,100000,1,100,2024-01-26,2025-01-25,2026-01-25
278,V278,100000,4,400,2024-06-12,2025-06-12,2029-06-11
279,V279,100000,3,300,2024-10-14,2025-10-14,2028-10-13
280,V280,100000,4,400,2024-11-27,2025-11-27,2029-11-26
281,V281,100000,3,300,2024-12-26,2025-12-26,2028-12-25
282,V282,100000,4,400,2024-03-21,2025-03-21,2029-03-20
283,V283,100000,2,200,2024-12-20,2025-12-20,2027-12-20
284,V284,100000,1,100,2024-09-26,2025-09-26,2026-09-26
285,V285,100000,3,300,2024-12-29,2025-12-29,2028-12-28
286,V286,100000,3,300,2024-05-17,2025-05-17,2028-05-16
287,V287,100000,1,100,2024-06-19,2025-06-19,2026-06-19
288,V288,100000,3,300,2024-12-13,2025-12-13,2028-12-12
289,V289,100000,2,200,2024-05-19,2025-05-19,2027-05-19
290,V290,100000,2,200,2024-09-02,2025-09-02,2027-09-02
291,V291,100000,2,200,2024-04-16,2025-04-16,2027-04-16
292,V292,100000,1,100,2024-09-01,2025-09-01,2026-09-01
293,V293,100000,3,300,2024-11-17,2025-11-17,2028-11-16
294,V294,100000,2,200,2024-08-30,2025-08-30,2027-08-30
295,V295,100000,1,100,2024-04-22,2025-04-22,2026-04-22
296,V296,100000,2,200,2024-04-21,2025-04-21,2027-04-21
297,V297,100000,2,200,2024-07-09,2025-07-09,2027-07-09
298,V298,100000,2,200,2024-09-10,2025-09-10,2027-09-10
299,V299,100000,1,100,2024-06-29,2025-06-29,2026-06-29
300,V300,100000,1,100,2024-10-08,2025-10-08,2026-10-08
301,V301,100000,3,300,2024-05-04,2025-05-04,2028-05-03
302,V302,100000,2,200,2024-05-25,2025-05-25,2027-05-25
303,V303,100000,1,100,2024-11-10,2025-11-10,2026-11-10
304,V304,100000,1,100,2024-10-04,2025-10-04,2026-10-04
305,V305,100000,2,200,2024-09-25,2025-09-25,2027-09-25
306,V306,100000,1,100,2024-06-10,2025-06-10,2026-06-10
307,V307,100000,1,100,2024-11-15,2025-11-15,2026-11-15
308,V308,100000,2,200,2024-12-07,2025-12-07,2027-12-07
309,V309,100000,3,300,2024-05-08,2025-05-08,2028-05-07
310,V310,100000,3,300,2024-12-26,2025-12-26,2028-12-25
311,V311,100000,4,400,2024-08-31,2025-08-31,2029-08-30
312,V312,100000,1,100,2024-12-04,2025-12-04,2026-12-04
313,V313,100000,4,400,2024-01-30,2025-01-29,2029-01-28
314,V314,100000,3,300,2024-08-25,2025-08-25,2028-08-24
315,V315,100000,2,200,2024-12-20,2025-12-20,2027-12-20
316,V316,100000,3,300,2024-08-27,2025-08-27,2028-08-26
317,V317,100000,3,300,2024-03-23,2025-03-23,2028-03-22
318,V318,100000,3,300,2024-09-05,2025-09-05,2028-09-04
319,V319,100000,3,300,2024-07-18,2025-07-18,2028-07-17
320,V320,100000,2,200,2024-12-30,2025-12-30,2027-12-30
321,V321,100000,3,300,2024-01-17,2025-01-16,2028-01-16
322,V322,100000,1,100,2024-05-06,2025-05-06,2026-05-06
323,V323,100000,3,300,2024-06-08,2025-06-08,2028-06-07
324,V324,100000,2,200,2024-08-18,2025-08-18,2027-08-18
325,V325,100000,3,300,2024-02-28,2025-02-27,2028-02-27
326,V326,100000,4,400,2024-08-26,2025-08-26,2029-08-25
327,V327,100000,1,100,2024-04-29,2025-04-29,2026-04-29
328,V328,100000,2,200,2024-03-19,2025-03-19,2027-03-19
329,V329,100000,3,300,2024-07-08,2025-07-08,2028-07-07
330,V330,100000,3,300,2024-12-15,2025-12-15,2028-12-14
331,V331,100000,1,100,2024-06-23,2025-06-23,2026-06-23
332,V332,100000,2,200,2024-12-15,2025-12-15,2027-12-15
333,V333,100000,3,300,2024-03-09,2025-03-09,2028-03-08
334,V334,100000,4,400,2024-02-04,2025-02-03,2029-02-02
335,V335,100000,4,400,2024-05-31,2025-05-31,2029-05-30
336,V336,100000,2,200,2024-08-10,2025-08-10,2027-08-10
337,V337,100000,3,300,2024-04-11,2025-04-11,2028-04-10
338,V338,100000,2,200,2024-12-26,2025-12-26,2027-12-26
339,V339,100000,4,400,2024-08-16,2025-08-16,2029-08-15
340,V340,100000,1,100,2024-04-11,2025-04-11,2026-04-11
341,V341,100000,3,300,2024-08-12,2025-08-12,2028-08-11
342,V342,100000,3,300,2024-05-04,2025-05-04,2028-05-03
343,V343,100000,2,200,2024-11-10,2025-11-10,2027-11-10
344,V344,100000,2,200,2024-03-31,2025-03-31,2027-03-31
345,V345,100000,3,300,2024-08-04,2025-08-04,2028-08-03
346,V346,100000,2,200,2024-01-18,2025-01-17,2027-01-17
347,V347,100000,3,300,2024-12-16,2025-12-16,2028-12-15
348,V348,100000,3,300,2024-03-12,2025-03-12,2028-03-11
349,V349,100000,1,100,2024-10-11,2025-10-11,2026-10-11
350,V350,100000,3,300,2024-05-19,2025-05-19,2028-05-18
351,V351,100000,1,100,2024-01-25,2025-01-24,2026-01-24
352,V352,100000,3,300,2024-01-25,2025-01-24,2028-01-24
353,V353,100000,3,300,2024-10-19,2025-10-19,2028-10-18
354,V354,100000,3,300,2024-08-26,2025-08-26,2028-08-25
355,V355,100000,2,200,2024-12-26,2025-12-26,2027-12-26
356,V356,100000,2,200,2024-08-23,2025-08-23,2027-08-23
357,V357,100000,4,400,2024-06-05,2025-06-05,2029-06-04
358,V358,100000,1,100,2024-04-05,2025-04-05,2026-04-05
359,V359,100000,1,100,2024-03-26,2025-03-26,2026-03-26
360,V360,100000,2,200,2024-08-18,2025-08-18,2027-08-18
361,V361,100000,2,200,2024-05-25,2025-05-25,2027-05-25
362,V362,100000,3,300,2024-12-08,2025-12-08,2028-12-07
363,V363,100000,3,300,2024-12-06,2025-12-06,2028-12-05
364,V364,100000,1,100,2024-04-09,2025-04-09,2026-04-09
365,V365,100000,2,200,2024-06-10,2025-06-10,2027-06-10
366,V366,100000,1,100,2024-08-10,2025-08-10,2026-08-10
367,V367,100000,3,300,2024-10-04,2025-10-04,2028-10-03
368,V368,100000,2,200,2024-05-24,2025-05-24,2027-05-24
369,V369,100000,2,200,2024-09-17,2025-09-17,2027-09-17
370,V370,100000,3,300,2024-04-20,2025-04-20,2028-04-19
371,V371,100000,1,100,2024-12-23,2025-12-23,2026-12-23
372,V372,100000,2,200,2024-05-19,2025-05-19,2027-05-19
373,V373,100000,1,100,2024-04-02,2025-04-02,2026-04-02
374,V374,100000,3,300,2024-05-16,2025-05-16,2028-05-15
375,V375,100000,3,300,2024-09-17,2025-09-17,2028-09-16
376,V376,100000,2,200,2024-03-07,2025-03-07,2027-03-07
377,V377,100000,2,200,2024-06-13,2025-06-13,2027-06-13
378,V378,100000,2,200,2024-06-01,2025-06-01,2027-06-01
379,V379,100000,3,300,2024-08-29,2025-08-29,2028-08-28
380,V380,100000,2,200,2024-10-03,2025-10-03,2027-10-03
381,V381,100000,3,300,2024-12-03,2025-12-03,2028-12-02
382,V382,100000,1,100,2024-01-14,2025-01-13,2026-01-13
383,V383,100000,2,200,2024-05-07,2025-05-07,2027-05-07
384,V384,100000,3,300,2024-09-14,2025-09-14,2028-09-13
385,V385,100000,1,100,2024-04-25,2025-04-25,2026-04-25
386,V386,100000,3,300,2024-01-16,2025-01-15,2028-01-15
387,V387,100000,2,200,2024-01-04,2025-01-03,2027-01-03
388,V388,100000,1,100,2024-06-24,2025-06-24,2026-06-24
389,V389,100000,4,400,2024-10-27,2025-10-27,2029-10-26
390,V390,100000,2,200,2024-11-26,2025-11-26,2027-11-26
391,V391,100000,2,200,2024-01-21,2025-01-20,2027-01-20
392,V392,100000,2,200,2024-09-21,2025-09-21,2027-09-21
393,V393,100000,1,100,2024-11-24,2025-11-24,2026-11-24
394,V394,100000,3,300,2024-08-09,2025-08-09,2028-08-08
395,V395,100000,3,300,2024-08-20,2025-08-20,2028-08-19
396,V396,100000,4,400,2024-01-12,2025-01-11,2029-01-10
397,V397,100000,1,100,2024-06-27,2025-06-27,2026-06-27
398,V398,100000,3,300,2024-07-08,2025-07-08,2028-07-07
399,V399,100000,2,200,2024-11-27,2025-11-27,2027-11-27
400,V400,100000,3,300,2024-01-04,2025-01-03,2028-01-03
401,V401,100000,1,100,2024-04-15,2025-04-15,2026-04-15
402,V402,100000,3,300,2024-08-16,2025-08-16,2028-08-15
403,V403,100000,4,400,2024-12-23,2025-12-23,2029-12-22
404,V404,100000,3,300,2024-03-27,2025-03-27,2028-03-26
405,V405,100000,2,200,2024-01-27,2025-01-26,2027-01-26
406,V406,100000,1,100,2024-11-21,2025-11-21,2026-11-21
407,V407,100000,3,300,2024-01-13,2025-01-12,2028-01-12
408,V408,100000,1,100,2024-03-21,2025-03-21,2026-03-21
409,V409,100000,3,300,2024-12-06,2025-12-06,2028-12-05
410,V410,100000,4,400,2024-12-16,2025-12-16,2029-12-15
411,V411,100000,2,200,2024-05-30,2025-05-30,2027-05-30
412,V412,100000,2,200,2024-05-19,2025-05-19,2027-05-19
413,V413,100000,2,200,2024-01-27,2025-01-26,2027-01-26
414,V414,100000,4,400,2024-06-18,2025-06-18,2029-06-17
415,V415,100000,4,400,2024-12-20,2025-12-20,2029-12-19
416,V416,100000,2,200,2024-01-05,2025-01-04,2027-01-04
417,V417,100000,3,300,2024-12-19,2025-12-19,2028-12-18
418,V418,100000,4,400,2024-10-08,2025-10-08,2029-10-07
419,V419,100000,3,300,2024-01-15,2025-01-14,2028-01-14
420,V420,100000,3,300,2024-12-18,2025-12-18,2028-12-17
